Time (s);Linear Acceleration x (m/s^2);Linear Acceleration y (m/s^2);Linear Acceleration z (m/s^2);Absolute acceleration (m/s^2)
0,88574017;-0,289000005;0,094999999;-1,146999955;1,186657027
0,890773477;-0,231999993;0,216999993;-1,118000031;1,162255162
0,895806713;-0,158000007;0,264999986;-0,91900003;0,969407061
0,900839944;-0,059999999;0,43599999;-0,888999999;0,991976304
0,905873375;-0,046999998;0,537999988;-0,774999976;0,944604653
0,910906606;-0,028000001;0,653999984;-0,423999995;0,779920493
0,915939846;0,033;0,620999992;-0,330000013;0,704009942
0,920973154;0,201000005;0,558000028;-0,337000012;0,682153972
0,926006389;0,172999993;0,628000021;-0,203999996;0,682589937
0,931039851;0,234999999;0,598999977;-0,423999995;0,770585471
0,936072861;0,347000003;0,500999987;-0,393999994;0,725703785
0,941106323;-0,104999997;-0,797999978;-0,734000027;1,089304826
0,946139553;0,381999999;-0,503000021;-1,875;1,978524203
0,951172861;0,317000002;-0,238000005;-2,131999969;2,168537958
0,956206092;0,059999999;0,136999995;-1,985000014;1,990626548
0,961239572;-0,072999999;0,462000012;-1,605999947;1,672724974
0,966272803;-0,377999991;0,717999995;-1,24000001;1,481893387
0,971306024;-0,407999992;0,873000026;-0,907999992;1,324030598
0,976339332;-0,504000008;0,75999999;-0,693000019;1,145366762
0,981372528;-0,340000004;0,768999994;-0,504000008;0,980294344
0,986405759;-0,203999996;0,708999991;-0,531000018;0,908987352
0,991438995;0,063000001;0,527999997;-0,370999992;0,648377969
0,996472456;0,171000004;0,5;-0,419;0,674390096
1,001505654;0,234999999;0,546000004;-0,208000004;0,629765834
1,006538885;0,381000012;0,533999979;-0,071999997;0,659924986
1,011572188;0,330000013;0,652999997;0,118000001;0,74110256
1,016605419;0,239999995;0,448000014;0,444999993;0,675521283
1,02163888;0,248999998;0,481000006;0,470999986;0,717776422
1,026672111;0,226999998;0,481999993;0,575999975;0,784620267
1,031705342;0,175999999;0,499000013;0,629000008;0,821959867
1,036738596;0,071000002;0,497000009;0,615999997;0,794673521
1,041771827;0,214000002;0,588999987;0,573000014;0,849144276
1,046805149;0,180000007;0,714999974;0,432999998;0,855052024
1,05183838;0,114;0,626999974;0,391000003;0,747667018
1,056871644;0,177000001;0,690999985;0,225999996;0,748255289
1,061905106;0,209999993;0,625;0,115999997;0,669463215
1,066938404;0,171000004;0,656000018;0,149000004;0,694102317
1,071971635;0,245000005;0,601000011;-0,039999999;0,650250733
1,077004865;0,185000002;0,50999999;-0,231000006;0,589649043
1,082038342;0,104999997;0,495000005;-0,356000006;0,618697025
1,087071342;0,046999998;0,442000002;-0,395999998;0,595305803
1,092104808;0,079000004;0,400000006;-0,402999997;0,573280039
1,097138039;-0,026000001;0,433999985;-0,409000009;0,596919588
1,102171362;-0,116999999;0,453999996;-0,356000006;0,588677332
1,107204593;-0,143999994;0,307000011;-0,256999999;0,42548091
1,112238059;-0,166999996;0,416999996;-0,199000001;0,491303364
1,11727129;-0,174999997;0,412;-0,048999999;0,450299899
1,12230452;-0,100000001;0,393999994;-0,067000002;0,411976936
1,127337827;-0,101999998;0,338999987;0,032000002;0,355456032
1,132371078;-0,048999999;0,374000013;0,158000007;0,408951112
1,13740454;0,011;0,27700001;0,246999994;0,371293688
1,142437559;0,090999998;0,319999993;0,291000009;0,441997738
1,14747079;0,150000006;0,200000003;0,300999999;0,391281232
1,152504251;0,300999999;0,26699999;0,391000003;0,561044558
1,157537559;0,284000009;0,25;0,273000002;0,466567258
1,162570795;0,370999992;0,206;0,308999985;0,524936172
1,167604025;0,388000011;0,261000007;0,280000001;0,545036708
1,172637516;0,326000005;0,143000007;0,264999986;0,443790488
1,177670747;0,421000004;0,244000003;0,331999987;0,589067905
1,182703997;0,432000011;0,231000006;0,340000004;0,596309496
1,187737227;0,377999991;0,218999997;0,310000002;0,535672468
1,192770543;0,328000009;0,186000004;0,342000008;0,509061895
1,197803697;0,340000004;0,277999997;0,219999999;0,491206678
1,202836963;0,307000011;0,326000005;0,31099999;0,545202718
1,207870424;0,169;0,079000004;0,294999987;0,349037237
1,212903674;0,082999997;0,241999999;0,248999998;0,357007
1,217936905;0,112000003;0,180999994;0,379000008;0,434679198
1,222970217;0,052999999;0,082999997;0,395000011;0,407090909
1,228003448;-0,025;0,127000004;0,563000023;0,577687656
1,233036905;-0,092;0,07;0,592999995;0,604163052
1,238069905;-0,237000003;0,079000004;0,712000012;0,754555511
1,243103356;-0,128000006;0,037;0,73299998;0,745011391
1,248136587;-0,189999998;-0,061000001;0,808000028;0,832277024
1,253169895;-0,144999996;-0,108999997;0,879000008;0,897522709
1,25820315;-0,127000004;0,004;0,808000028;0,817929732
1,26323638;-0,093999997;-0,116999999;0,773000002;0,787435078
1,268269847;-0,071999997;-0,147;0,851000011;0,86659911
1,273303078;-0,046999998;-0,194999993;0,66900003;0,69842325
1,278336332;-0,109999999;-0,194999993;0,693000019;0,728267824
1,283369563;-0,134000003;-0,147;0,887000024;0,909029177
1,288403025;-0,187000006;-0,052000001;0,893999994;0,914827301
1,293436015;-0,193000004;0,089000002;1,024000049;1,045823169
1,298469476;-0,230000004;0,158999994;1,300999999;1,33070733
1,303502707;-0,280999988;0,134000003;1,44599998;1,479132495
1,308536001;-0,324999988;0,142000005;1,524999976;1,56569918
1,313569232;-0,319000006;-0,046999998;1,541000009;1,574373218
1,318602462;-0,263000011;-0,151999995;1,593999982;1,62268572
1,323635919;-0,312999994;-0,178000003;1,393000007;1,438784909
1,32866915;-0,228;-0,256000012;1,373999953;1,416120008
1,333702399;-0,214000002;-0,305000007;1,110000014;1,170863372
1,338735707;-0,273000002;-0,230000004;0,959999979;1,024221149
